 ,Area,X,Y,Major,Minor,Angle
56,18.6918,232.0681,110.3616,7.7740,3.0614,104.7177
57,100.5392,199.8448,115.3761,12.6567,10.1141,65.3430
58,120.0806,211.7713,119.7454,18.0957,8.4491,53.0862
59,33.9851,272.2868,113.9473,9.3687,4.6187,26.9545
60,196.5471,218.9781,121.9315,27.7907,9.0049,40.0620
61,162.2788,292.1147,117.4493,18.9205,10.9204,6.9517
62,36.5340,280.1112,117.6785,8.3315,5.5832,71.7674
63,62.3060,180.1046,119.3884,10.8785,7.2924,88.5047
64,39.9325,189.2935,117.4500,10.2122,4.9787,59.8393
65,2.5489,240.2765,115.7478,1.8015,1.8015,0.0000
66,30.3034,265.4479,119.0951,8.3665,4.6117,112.0414
67,2.5489,260.4991,116.2800,1.8015,1.8015,0.0000
68,9.0627,139.9950,117.6603,3.8375,3.0069,178.2989
69,67.9702,170.4309,121.3867,10.9065,7.9349,25.3166
70,89.7773,233.8720,124.4624,15.9170,7.1815,31.6147
71,157.1810,252.8119,125.6472,19.8195,10.0976,175.5368
72,200.2288,141.8341,128.7910,21.5096,11.8524,137.6620
73,56.9250,275.4609,127.0161,11.7116,6.1886,21.6691
74,17.5590,127.3612,126.7261,6.4476,3.4674,11.1925
75,58.3411,177.5136,131.1499,9.6197,7.7219,123.6409
76,26.0552,167.7563,130.8280,9.2927,3.5700,88.6878
77,39.0829,188.8408,129.0792,10.7154,4.6439,12.1246
78,99.4064,159.8106,133.0488,12.3759,10.2270,4.2000
79,11.0452,241.3409,130.3621,5.7034,2.4657,171.6605
80,57.4914,267.6638,132.5913,12.5323,5.8410,174.4125
81,19.2582,204.3548,133.3096,7.3958,3.3154,4.5058
82,5.0978,259.7009,133.3096,3.6030,1.8015,0.0000
83,26.6217,196.2589,136.9385,8.3247,4.0717,35.4152
84,3.3985,122.6661,134.6400,2.4020,1.8015,90.0000
85,92.0429,132.9510,140.6880,11.5760,10.1238,104.1894
